EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-22.894,-20.718,-21.354,-20.902,-13.347,-9.778,-8.496,-13.631,0.068,0.951,-0.353,-3.845,5.005,-2.380,73.333,77353.000,1.000
-23.723,-21.494,-23.069,-23.201,-15.923,-11.096,-10.932,-17.037,0.067,0.951,-0.353,-3.815,5.249,-2.380,73.333,77354.000,1.000
-22.276,-20.274,-23.479,-23.820,-16.976,-10.790,-11.568,-18.713,0.066,0.949,-0.355,-3.815,5.493,-2.350,73.333,77355.000,1.000
-18.891,-17.824,-22.417,-22.934,-16.126,-9.056,-10.349,-18.534,0.067,0.947,-0.355,-3.784,5.676,-2.411,73.333,77356.000,1.000
-14.557,-14.654,-20.334,-20.951,-14.002,-6.628,-7.864,-16.787,0.070,0.947,-0.353,-3.693,5.951,-2.472,73.333,77357.000,1.000
-10.508,-11.355,-18.143,-18.336,-11.892,-4.568,-5.348,-14.155,0.067,0.947,-0.350,-3.693,6.134,-2.502,73.333,77358.000,1.000
-7.786,-9.038,-16.674,-15.776,-10.845,-3.835,-4.101,-11.719,0.067,0.945,-0.350,-3.601,6.195,-2.380,73.333,77359.000,1.000
-6.919,-8.760,-16.203,-14.198,-11.011,-4.664,-4.533,-10.533,0.068,0.946,-0.350,-3.357,6.348,-2.350,73.333,77360.000,1.000
-7.841,-10.411,-16.535,-14.355,-11.908,-6.333,-5.946,-10.991,0.069,0.947,-0.349,-3.326,6.500,-2.350,73.333,77361.000,1.000
-9.875,-12.489,-17.266,-16.040,-12.993,-7.621,-7.226,-12.470,0.073,0.948,-0.351,-3.235,6.561,-2.289,73.333,77362.000,1.000
-11.746,-13.218,-17.779,-17.724,-13.724,-7.602,-7.586,-13.583,0.076,0.948,-0.351,-3.326,6.836,-2.472,73.333,77363.000,1.000
-12.173,-12.066,-17.377,-17.629,-13.529,-6.273,-6.933,-13.220,0.081,0.951,-0.353,-3.296,7.019,-2.502,73.333,77364.000,1.000
-10.932,-10.175,-15.933,-15.517,-12.314,-4.607,-5.843,-11.556,0.081,0.951,-0.354,-3.265,7.477,-2.350,73.333,77365.000,1.000
-9.035,-9.027,-14.131,-12.878,-10.681,-3.677,-4.939,-9.684,0.086,0.952,-0.352,-3.357,7.874,-2.380,73.333,77366.000,1.000
-7.469,-8.718,-12.632,-11.017,-9.186,-3.551,-4.155,-8.127,0.090,0.951,-0.355,-3.479,8.270,-2.380,73.333,77367.000,1.000
-6.196,-8.060,-11.371,-9.731,-7.749,-3.408,-2.962,-6.385,0.097,0.949,-0.358,-3.418,8.850,-2.441,73.333,77368.000,1.000
-4.680,-6.433,-9.981,-8.273,-6.089,-2.762,-1.328,-4.174,0.105,0.950,-0.356,-3.510,9.521,-2.533,73.333,77369.000,1.000
-2.915,-4.762,-8.581,-6.867,-4.448,-2.131,0.003,-2.403,0.109,0.950,-0.354,-3.662,10.315,-2.655,73.333,77370.000,1.000
-1.460,-4.254,-7.710,-6.476,-3.503,-2.314,0.274,-2.236,0.112,0.951,-0.356,-3.723,11.139,-2.808,73.333,77371.000,1.000
-0.646,-4.752,-7.580,-7.310,-3.609,-3.334,-0.473,-3.506,0.115,0.952,-0.356,-3.967,12.054,-3.082,73.333,77372.000,1.000
-0.302,-5.170,-7.878,-8.512,-4.495,-4.550,-1.595,-4.975,0.118,0.954,-0.357,-4.059,12.939,-3.387,73.333,77373.000,1.000
-0.149,-5.155,-8.182,-9.264,-5.619,-5.581,-2.637,-5.971,0.121,0.957,-0.356,-4.242,13.947,-3.601,73.333,77374.000,1.000
0.063,-5.251,-8.072,-9.383,-6.401,-6.521,-3.478,-6.813,0.125,0.956,-0.356,-4.517,15.045,-4.028,73.333,77375.000,1.000
0.597,-5.636,-7.160,-9.019,-6.441,-7.423,-4.011,-7.870,0.130,0.955,-0.359,-4.883,16.083,-4.272,73.333,77376.000,1.000
1.510,-5.717,-5.516,-8.413,-5.986,-8.199,-4.262,-9.037,0.135,0.958,-0.356,-5.188,17.181,-4.700,73.333,77377.000,1.000
2.536,-5.095,-3.816,-7.867,-5.876,-8.972,-4.675,-10.069,0.138,0.961,-0.362,-5.524,18.372,-5.035,73.333,77378.000,1.000
3.282,-4.293,-2.718,-7.680,-6.663,-10.049,-5.798,-10.945,0.141,0.962,-0.359,-5.890,19.623,-5.585,73.333,77379.000,1.000
3.556,-4.021,-2.051,-7.839,-7.778,-11.301,-7.426,-11.577,0.146,0.965,-0.361,-6.287,20.905,-6.165,73.333,77380.000,1.000
3.732,-3.889,-0.800,-7.691,-7.835,-11.827,-8.332,-11.306,0.148,0.966,-0.365,-6.714,22.400,-6.744,73.333,77381.000,1.000
4.752,-2.430,1.913,-6.179,-5.883,-10.579,-7.277,-9.220,0.151,0.967,-0.365,-7.263,23.895,-7.324,73.333,77382.000,1.000
7.491,1.353,5.991,-2.745,-2.210,-7.364,-4.228,-5.191,0.157,0.969,-0.365,-7.812,25.391,-7.874,73.333,77383.000,1.000
11.961,6.650,10.474,1.822,2.011,-3.205,-0.485,-0.478,0.161,0.969,-0.367,-8.362,27.039,-8.362,73.333,77384.000,1.000
17.072,11.211,14.103,5.454,5.410,0.233,2.241,2.844,0.163,0.966,-0.370,-8.942,28.503,-8.911,73.333,77385.000,1.000
21.435,13.406,16.069,6.372,7.107,1.914,3.120,3.534,0.165,0.962,-0.373,-9.613,30.212,-9.552,73.333,77386.000,1.000
24.515,13.856,16.649,4.857,7.261,2.266,2.819,2.411,0.163,0.961,-0.372,-10.071,32.104,-10.254,73.333,77387.000,1.000
26.801,14.452,16.895,3.008,6.854,2.472,2.692,1.520,0.161,0.959,-0.376,-10.712,33.966,-11.108,73.333,77388.000,1.000
29.028,16.038,17.640,2.666,6.843,3.149,3.483,2.088,0.160,0.960,-0.380,-11.108,35.706,-11.902,73.333,77389.000,1.000
31.613,17.920,19.084,4.053,7.697,4.192,5.138,3.790,0.156,0.961,-0.382,-11.475,37.476,-12.756,73.333,77390.000,1.000
34.489,19.299,20.971,6.175,9.323,5.446,7.428,5.721,0.150,0.962,-0.381,-11.871,39.215,-13.580,73.333,77391.000,1.000
37.039,20.210,22.700,7.919,11.019,6.798,10.081,7.360,0.146,0.958,-0.382,-12.299,40.771,-14.374,73.333,77392.000,1.000
38.323,20.910,23.436,8.652,11.739,7.798,12.400,8.523,0.141,0.954,-0.385,-12.726,42.511,-15.167,73.333,77393.000,1.000
37.641,20.891,22.470,7.971,10.760,7.714,13.345,8.800,0.137,0.948,-0.387,-13.153,43.915,-15.991,73.333,77394.000,1.000
35.095,19.207,19.755,5.583,8.280,6.270,12.422,7.691,0.134,0.941,-0.389,-13.428,45.349,-16.632,73.333,77395.000,1.000
31.631,15.936,16.155,1.859,5.403,4.276,10.398,5.492,0.130,0.936,-0.394,-13.611,46.722,-17.365,73.333,77396.000,1.000
28.297,12.555,12.726,-2.113,3.176,3.014,8.553,3.254,0.125,0.930,-0.395,-13.702,48.004,-18.219,73.333,77397.000,1.000
25.508,10.493,9.839,-5.381,1.667,2.849,7.258,1.549,0.124,0.925,-0.398,-13.794,49.255,-18.860,73.333,77398.000,1.000
23.280,9.928,7.477,-7.542,0.472,2.944,5.978,0.060,0.121,0.921,-0.405,-13.672,50.507,-19.470,73.333,77399.000,1.000
21.705,10.136,5.988,-8.463,-0.291,2.411,4.460,-1.561,0.121,0.920,-0.407,-13.611,51.636,-19.989,73.333,77400.000,1.000
20.669,10.486,5.770,-8.230,-0.240,1.122,3.134,-3.095,0.118,0.920,-0.407,-13.397,52.704,-20.538,73.333,77401.000,1.000
19.486,10.847,6.477,-7.307,0.364,-0.572,2.440,-4.093,0.113,0.920,-0.405,-13.245,53.833,-21.118,73.333,77402.000,1.000
17.273,11.172,7.110,-6.382,0.643,-2.373,2.194,-4.436,0.111,0.918,-0.407,-13.184,54.840,-21.515,73.333,77403.000,1.000
13.669,10.985,6.938,-5.962,0.064,-4.109,1.754,-4.378,0.109,0.916,-0.404,-13.184,55.939,-22.095,73.333,77404.000,1.000
8.973,9.636,5.978,-6.300,-1.072,-5.509,0.686,-4.322,0.104,0.916,-0.408,-12.970,56.824,-22.522,73.333,77405.000,1.000
3.706,7.127,4.555,-7.594,-2.242,-6.197,-0.878,-4.668,0.098,0.919,-0.405,-12.817,57.526,-22.858,73.333,77406.000,1.000
-1.617,4.552,2.899,-9.639,-3.277,-5.888,-2.397,-5.344,0.091,0.922,-0.407,-12.756,58.258,-23.254,73.333,77407.000,1.000
-6.605,3.180,1.149,-11.588,-4.250,-4.676,-3.387,-5.677,0.083,0.926,-0.402,-12.726,59.052,-23.682,73.333,77408.000,1.000
-11.440,2.854,-0.812,-12.889,-5.318,-3.180,-3.945,-5.395,0.079,0.931,-0.398,-12.695,59.540,-24.017,73.333,77409.000,1.000
-16.861,1.905,-3.394,-14.128,-6.688,-2.197,-4.599,-5.294,0.072,0.936,-0.397,-12.787,59.937,-24.292,73.333,77410.000,1.000
-23.401,-1.082,-6.959,-16.374,-8.583,-2.212,-5.642,-6.384,0.066,0.941,-0.393,-12.970,60.242,-24.597,73.333,77411.000,1.000
-30.619,-5.751,-11.316,-19.721,-11.083,-3.260,-6.944,-8.640,0.061,0.945,-0.390,-13.397,60.425,-24.719,73.333,77412.000,1.000
-36.969,-10.223,-15.401,-22.737,-13.768,-4.930,-8.265,-10.868,0.054,0.947,-0.386,-13.641,60.394,-24.841,73.333,77413.000,1.000
-40.906,-12.932,-17.830,-23.809,-15.783,-6.623,-9.502,-11.962,0.051,0.953,-0.381,-13.947,60.303,-24.780,73.333,77414.000,1.000
-42.352,-14.006,-18.095,-22.886,-16.516,-8.017,-10.625,-11.988,0.048,0.955,-0.373,-14.465,60.089,-24.628,73.333,77415.000,1.000
-42.425,-14.291,-16.711,-21.032,-15.878,-8.933,-11.220,-11.388,0.042,0.958,-0.369,-14.862,59.906,-24.567,73.333,77416.000,1.000
-41.817,-13.574,-14.200,-18.632,-13.886,-8.869,-10.309,-9.653,0.038,0.966,-0.366,-15.320,59.601,-24.506,73.333,77417.000,1.000
-40.298,-10.914,-10.635,-15.169,-10.560,-7.309,-7.153,-5.956,0.035,0.974,-0.360,-15.930,59.265,-24.353,73.333,77418.000,1.000
-37.684,-6.518,-6.164,-10.567,-6.218,-4.423,-2.182,-0.731,0.032,0.979,-0.357,-16.541,58.868,-24.231,73.333,77419.000,1.000
-34.445,-2.111,-1.351,-5.810,-1.472,-1.000,3.255,4.375,0.029,0.982,-0.351,-17.334,58.319,-23.895,73.333,77420.000,1.000
-31.143,0.906,3.200,-2.007,3.108,2.280,7.984,8.063,0.022,0.987,-0.347,-18.036,57.556,-23.621,73.333,77421.000,1.000
-27.614,3.144,7.463,0.898,7.382,5.486,11.783,10.561,0.018,0.987,-0.343,-18.921,56.915,-23.407,73.333,77422.000,1.000
-22.899,6.643,12.127,4.302,11.858,9.380,15.281,13.298,0.013,0.991,-0.337,-19.806,56.091,-23.071,73.333,77423.000,1.000
-16.230,12.498,17.851,9.492,17.215,14.440,19.116,17.299,0.012,0.995,-0.331,-20.538,55.206,-22.858,73.333,77424.000,1.000
-8.249,19.336,24.212,15.981,23.217,19.836,22.949,21.826,0.008,1.001,-0.325,-21.454,54.382,-22.461,73.333,77425.000,1.000
-0.865,24.571,29.687,21.741,28.368,23.764,25.502,24.930,0.007,1.010,-0.317,-22.278,53.406,-22.186,73.333,77426.000,1.000
4.373,26.949,32.918,25.162,31.053,24.933,25.763,25.424,0.008,1.017,-0.312,-23.499,52.338,-21.851,73.333,77427.000,1.000
7.205,27.063,33.561,26.208,30.691,23.357,23.679,23.720,0.014,1.023,-0.309,-24.689,51.422,-21.454,73.333,77428.000,1.000
7.956,25.571,31.886,25.475,27.646,19.698,19.575,20.562,0.018,1.033,-0.303,-25.970,50.415,-21.027,73.333,77429.000,1.000
6.845,22.298,28.283,23.008,22.687,14.767,13.888,15.967,0.023,1.036,-0.298,-27.405,49.530,-20.721,73.333,77430.000,1.000
4.369,17.521,23.514,18.825,16.990,9.929,7.931,10.256,0.029,1.037,-0.292,-28.870,48.706,-20.294,73.333,77431.000,1.000
1.664,12.892,18.834,14.100,12.099,7.066,3.907,5.250,0.032,1.030,-0.290,-30.151,48.096,-19.836,73.333,77432.000,1.000
-0.058,10.252,15.427,10.864,9.328,7.480,3.519,3.349,0.030,1.024,-0.283,-31.311,47.302,-19.562,73.333,77433.000,1.000
-0.198,10.061,13.940,10.521,9.339,11.126,6.981,5.650,0.029,1.016,-0.276,-32.532,46.783,-19.379,73.333,77434.000,1.000
1.030,11.344,14.395,12.832,12.071,16.951,13.345,11.300,0.027,1.009,-0.271,-33.478,45.990,-19.165,73.333,77435.000,1.000
2.688,12.749,16.028,16.134,16.518,23.485,21.095,18.324,0.026,1.003,-0.265,-34.119,45.380,-19.196,73.333,77436.000,1.000
3.599,13.460,17.414,18.621,20.794,29.191,28.493,24.831,0.022,1.003,-0.259,-34.698,44.586,-19.226,73.333,77437.000,1.000
3.176,13.315,17.281,19.527,23.118,32.930,34.010,29.560,0.021,0.998,-0.249,-35.278,43.823,-19.196,73.333,77438.000,1.000
1.893,12.333,15.426,19.216,22.990,34.431,36.861,31.910,0.021,0.985,-0.240,-35.797,43.030,-19.073,73.333,77439.000,1.000
1.004,10.638,12.882,18.554,21.429,34.333,37.307,32.110,0.020,0.964,-0.235,-36.407,42.175,-19.135,73.333,77440.000,1.000
1.847,9.096,11.304,18.509,20.126,33.940,36.537,31.374,0.021,0.945,-0.233,-36.499,41.565,-19.165,73.333,77441.000,1.000
5.073,9.355,11.917,19.964,20.254,34.595,35.999,31.384,0.021,0.929,-0.231,-36.194,40.741,-19.165,73.333,77442.000,1.000
10.036,12.317,14.588,23.108,21.700,36.620,36.288,33.047,0.019,0.920,-0.228,-35.675,40.009,-19.348,73.333,77443.000,1.000
14.982,16.771,17.908,26.926,23.384,38.945,36.743,35.688,0.019,0.915,-0.223,-34.790,39.246,-19.501,73.333,77444.000,1.000
18.189,20.217,20.359,29.756,24.368,40.164,36.359,37.663,0.020,0.920,-0.216,-34.088,38.361,-19.684,73.333,77445.000,1.000
18.971,21.060,21.248,30.523,24.411,39.678,34.760,37.707,0.020,0.926,-0.209,-33.142,37.689,-19.867,73.333,77446.000,1.000
17.889,19.777,20.782,29.593,23.721,37.789,32.244,35.914,0.019,0.935,-0.203,-32.379,37.048,-20.020,73.333,77447.000,1.000
16.400,18.144,19.813,28.574,22.745,35.244,29.398,33.649,0.018,0.939,-0.195,-31.403,36.377,-20.050,73.333,77448.000,1.000
16.078,17.550,19.445,29.016,22.180,32.874,26.872,32.286,0.017,0.942,-0.191,-30.762,35.828,-20.111,73.333,77449.000,1.000
17.561,17.953,20.294,31.030,22.565,31.226,25.116,31.975,0.014,0.942,-0.186,-29.999,35.217,-20.111,73.333,77450.000,1.000
20.005,18.291,21.872,33.232,23.585,30.212,24.066,31.785,0.011,0.941,-0.184,-29.327,34.485,-20.081,73.333,77451.000,1.000
21.898,17.838,22.971,34.223,24.109,29.231,23.156,30.887,0.010,0.941,-0.178,-28.534,33.783,-20.081,73.333,77452.000,1.000
22.456,16.878,22.774,33.945,23.199,27.691,21.738,29.319,0.008,0.942,-0.175,-27.679,33.234,-20.111,73.333,77453.000,1.000
22.118,16.028,21.526,33.428,21.030,25.468,19.628,27.700,0.003,0.943,-0.172,-26.733,32.410,-20.111,73.333,77454.000,1.000
22.073,15.705,20.389,33.678,18.934,23.164,17.520,26.687,0.000,0.949,-0.168,-25.818,31.647,-20.081,73.333,77455.000,1.000
23.478,16.517,20.738,35.162,18.465,21.863,16.682,26.818,-0.004,0.955,-0.163,-24.963,30.823,-19.958,73.333,77456.000,1.000
26.517,19.094,23.027,37.738,20.027,22.156,17.749,28.302,-0.008,0.955,-0.155,-24.261,29.907,-19.775,73.333,77457.000,1.000
30.030,23.086,26.245,40.599,22.502,23.448,20.008,30.685,-0.011,0.957,-0.157,-23.682,29.053,-19.623,73.333,77458.000,1.000
32.550,27.055,28.918,42.672,24.596,24.659,22.243,33.052,-0.013,0.960,-0.159,-22.766,28.290,-19.653,73.333,77459.000,1.000
33.622,29.614,30.473,43.298,26.134,25.320,23.946,34.688,-0.014,0.971,-0.154,-21.729,27.130,-19.562,73.333,77460.000,1.000
33.940,30.472,31.300,42.581,27.656,25.693,25.408,35.462,-0.011,0.977,-0.148,-20.966,26.062,-19.318,73.333,77461.000,1.000
34.467,30.413,31.836,41.255,29.227,26.112,26.931,35.654,-0.009,0.973,-0.139,-20.447,25.085,-18.768,73.333,77462.000,1.000
35.462,30.187,31.862,40.050,30.049,26.312,28.134,35.403,-0.004,0.973,-0.137,-20.020,24.170,-18.402,73.333,77463.000,1.000
36.316,29.479,30.774,39.049,29.252,25.442,28.059,34.374,0.003,0.979,-0.143,-19.409,23.193,-17.883,73.333,77464.000,1.000
36.382,27.461,28.509,37.804,26.926,22.971,26.127,32.162,0.010,0.990,-0.145,-18.890,22.217,-17.120,73.333,77465.000,1.000
35.562,24.120,25.778,35.881,24.018,19.368,22.728,28.888,0.017,0.995,-0.139,-18.524,21.667,-16.541,73.333,77466.000,1.000
34.147,20.610,23.376,33.340,21.362,15.770,18.845,25.307,0.021,0.996,-0.133,-18.280,21.210,-15.839,73.333,77467.000,1.000
32.743,18.465,21.853,31.011,19.404,13.300,15.560,22.534,0.026,0.992,-0.137,-18.036,20.782,-15.076,73.333,77468.000,1.000
32.214,18.387,21.662,30.025,18.619,12.544,13.740,21.403,0.028,0.984,-0.140,-17.792,20.355,-14.282,73.333,77469.000,1.000
32.903,19.564,22.795,30.602,19.278,13.179,13.497,21.647,0.028,0.973,-0.144,-17.334,20.111,-13.580,73.333,77470.000,1.000
33.812,20.218,24.146,31.452,20.593,13.839,13.808,21.865,0.028,0.967,-0.143,-16.693,19.714,-12.970,73.333,77471.000,1.000
33.350,19.189,24.089,31.040,20.934,12.878,13.229,20.874,0.030,0.960,-0.144,-16.052,19.470,-12.451,73.333,77472.000,1.000
